Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyreke Evans,35:16,6,13,.462,1,3,.333,7,12,.583,0,2,2,3,0,1,0,1,20,+4
John Salmons,29:42,5,14,.357,3,5,.600,0,2,.000,1,2,3,0,0,0,1,3,13,-2
Chuck Hayes,27:18,3,5,.600,0,0,,1,2,.500,2,7,9,3,0,3,0,4,7,+11
DeMarcus Cousins,24:53,4,9,.444,0,0,,4,6,.667,6,5,11,0,1,1,2,4,12,+11
Jimmer Fredette,25:34,3,8,.375,0,0,,0,0,,0,1,1,3,0,0,3,2,6,+8
J.J. Hickson,21:54,1,4,.250,0,0,,1,4,.250,1,4,5,2,1,0,1,2,3,-5
Travis Outlaw,18:18,2,5,.400,0,2,.000,2,2,1.000,0,1,1,0,1,1,1,1,6,+11
Isaiah Thomas,13:09,2,4,.500,1,1,1.000,0,0,,0,2,2,2,0,0,0,0,5,+4
Jason Thompson,7:29,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,-1
Donté Greene,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Luol Deng,41:17,10,15,.667,1,4,.250,1,2,.500,2,8,10,1,0,1,4,2,22,+1
Derrick Rose,39:04,4,17,.235,1,8,.125,4,4,1.000,1,4,5,8,0,0,3,3,13,+1
Carlos Boozer,25:48,3,7,.429,0,0,,0,0,,1,2,3,1,1,0,2,2,6,-7
Joakim Noah,25:39,3,7,.429,0,0,,1,2,.500,3,7,10,0,1,0,2,1,7,-6
Richard Hamilton,24:20,5,12,.417,0,1,.000,0,0,,2,1,3,4,0,0,3,3,10,-2
Taj Gibson,22:12,2,3,.667,0,0,,1,2,.500,2,7,9,0,0,2,4,2,5,-1
C.J. Watson,19:40,3,10,.300,3,6,.500,4,4,1.000,2,0,2,1,1,0,2,3,13,+1
Kyle Korver,16:49,3,6,.500,3,5,.600,2,2,1.000,0,1,1,0,0,0,0,2,11,+2
Ronnie Brewer,15:12,1,4,.250,0,0,,2,6,.333,1,3,4,1,0,0,0,0,4,-16
Ömer Aşık,9:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-13
Stephen Curry,37:29,7,12,.583,1,3,.333,6,7,.857,1,6,7,10,6,0,4,4,21,+11
Monta Ellis,37:22,10,17,.588,1,4,.250,5,6,.833,0,2,2,7,0,1,3,3,26,0
David Lee,34:17,8,16,.500,0,0,,6,8,.750,1,6,7,1,1,0,1,2,22,-4
Dorell Wright,33:42,6,10,.600,1,4,.250,0,0,,0,3,3,1,1,0,0,3,13,-12
Andris Biedriņš,13:41,0,4,.000,0,0,,0,0,,3,1,4,0,3,1,0,2,0,-1
Brandon Rush,26:38,2,6,.333,1,3,.333,0,0,,0,3,3,1,1,2,2,1,5,+11
