Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Andersen,21:57,6,9,.667,0,0,,4,6,.667,2,5,7,0,1,6,1,1,16,+17
Andre Miller,21:57,1,2,.500,0,1,.000,0,0,,0,5,5,7,1,0,6,2,2,+17
Rudy Fernández,20:28,4,8,.500,2,3,.667,1,1,1.000,0,2,2,2,2,0,0,0,11,+12
Jordan Hamilton,6:28,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-5
Julyan Stone,5:45,0,0,,0,0,,0,0,,0,0,0,0,0,1,2,2,0,-3
Nenê Hilário,Did Not Dress,,,,,,,,,,,,,,,,,,,
John Wall,40:47,10,14,.714,1,1,1.000,8,9,.889,0,3,3,9,1,2,5,1,29,+11
Nick Young,39:46,12,17,.706,7,8,.875,4,4,1.000,1,2,3,0,2,0,1,3,35,+8
JaVale McGee,33:22,7,13,.538,0,0,,4,6,.667,6,5,11,2,0,1,0,0,18,+7
Trevor Booker,22:32,3,7,.429,0,0,,0,0,,3,3,6,1,0,0,1,4,6,+3
Chris Singleton,17:09,2,4,.500,0,2,.000,0,0,,0,3,3,1,1,0,0,4,4,+6
Jordan Crawford,29:50,9,16,.563,1,4,.250,2,2,1.000,1,1,2,4,3,0,3,1,21,+24
Jan Veselý,28:41,1,2,.500,0,0,,1,2,.500,1,8,9,3,0,2,1,6,3,+8
Rashard Lewis,16:53,3,5,.600,0,2,.000,0,0,,0,4,4,0,1,0,2,4,6,+3
Shelvin Mack,7:13,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,1,2,+4
Maurice Evans,3:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Andray Blatche,Not With Team,,,,,,,,,,,,,,,,,,,
Gerald Wallace,43:18,7,14,.500,0,2,.000,11,12,.917,1,3,4,8,2,0,2,2,25,-2
Nicolas Batum,42:05,12,24,.500,3,8,.375,6,6,1.000,2,2,4,1,1,1,2,1,33,-12
Marcus Camby,34:50,6,10,.600,0,0,,1,2,.500,6,6,12,3,2,0,0,3,13,-4
Raymond Felton,27:52,2,5,.400,0,1,.000,0,0,,0,1,1,6,1,0,2,3,4,+1
LaMarcus Aldridge,1:55,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1
Wesley Matthews,36:49,6,13,.462,3,6,.500,0,0,,1,4,5,2,1,0,2,2,15,-18
Jamal Crawford,23:02,1,5,.200,1,3,.333,0,0,,0,2,2,5,0,0,1,2,3,-26
Kurt Thomas,13:10,1,3,.333,0,0,,2,4,.500,2,1,3,1,0,0,0,0,4,-11
Craig Smith,9:16,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,1,1,6,+4
Nolan Smith,5:13,0,2,.000,0,1,.000,0,0,,0,0,0,0,2,0,1,1,0,-5
Elliot Williams,2:30,1,3,.333,0,2,.000,2,3,.667,0,0,0,0,0,0,0,0,4,-1
Joe Johnson,36:44,7,17,.412,1,8,.125,0,0,,1,2,3,5,0,0,2,1,15,-2
Jeff Teague,33:32,6,16,.375,2,5,.400,4,4,1.000,0,2,2,2,3,2,1,2,18,-4
Josh Smith,32:28,7,18,.389,0,2,.000,1,4,.250,2,7,9,3,2,3,3,2,15,+8
Zaza Pachulia,27:23,0,2,.000,0,0,,1,2,.500,4,6,10,1,4,1,1,4,1,-13
Marvin Williams,24:43,2,8,.250,0,1,.000,0,0,,3,3,6,0,0,0,1,2,4,-6
Vladimir Radmanović,28:01,3,8,.375,3,6,.500,0,0,,2,4,6,0,1,1,1,1,9,-6
Erick Dampier,16:12,0,3,.000,0,0,,0,0,,2,2,4,1,1,1,0,0,0,-1
Tracy McGrady,15:13,2,6,.333,1,1,1.000,0,0,,3,3,6,0,0,0,2,2,5,-6
Kirk Hinrich,14:28,2,6,.333,0,3,.000,1,2,.500,0,1,1,2,0,0,0,1,5,-4
Willie Green,11:16,2,6,.333,0,1,.000,2,2,1.000,0,0,0,0,1,0,0,0,6,-6
Pau Gasol,34:36,9,22,.409,1,1,1.000,1,2,.500,8,5,13,1,0,4,1,4,20,+2
Kobe Bryant,34:20,5,18,.278,0,3,.000,0,0,,1,3,4,4,0,0,5,3,10,+3
Andrew Bynum,31:03,7,10,.700,0,0,,1,1,1.000,4,11,15,0,0,2,2,0,15,+6
Metta World Peace,26:49,4,7,.571,2,5,.400,0,0,,0,4,4,1,1,0,2,0,10,+1
Derek Fisher,18:34,1,4,.250,0,0,,1,2,.500,0,3,3,3,0,0,2,1,3,-2
Troy Murphy,30:21,2,5,.400,2,4,.500,0,0,,0,3,3,4,1,0,0,1,6,+8
Steve Blake,29:26,2,5,.400,1,2,.500,0,0,,0,3,3,6,1,0,2,1,5,+10
Matt Barnes,21:11,3,7,.429,0,0,,1,4,.250,1,4,5,1,1,1,2,2,7,+7
Andrew Goudelock,13:40,4,6,.667,2,2,1.000,0,0,,0,2,2,0,0,0,1,1,10,+5
Andre Iguodala,34:47,6,14,.429,1,5,.200,2,3,.667,2,3,5,4,2,0,3,0,15,-13
Jodie Meeks,26:01,2,7,.286,1,5,.200,0,0,,0,3,3,1,0,0,0,1,5,-13
Elton Brand,25:51,6,10,.600,0,0,,1,1,1.000,1,1,2,1,2,1,2,5,13,-13
Jrue Holiday,24:58,1,8,.125,1,2,.500,0,0,,2,1,3,5,1,0,5,4,3,-17
Lavoy Allen,13:08,1,3,.333,0,0,,0,0,,1,4,5,0,0,0,0,1,2,-9
Thaddeus Young,34:52,6,13,.462,0,0,,0,0,,2,2,4,3,1,1,1,3,12,-7
Lou Williams,31:31,7,13,.538,2,4,.500,5,6,.833,1,3,4,7,1,0,1,1,21,0
Evan Turner,25:48,2,7,.286,1,2,.500,1,2,.500,0,8,8,6,0,0,1,0,6,-5
Nikola Vučević,22:09,5,10,.500,0,0,,0,0,,2,3,5,0,2,0,1,3,10,-3
Francisco Elson,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Spencer Hawes,Not With Team,,,,,,,,,,,,,,,,,,,
Dwight Howard,41:03,8,15,.533,0,0,,1,3,.333,3,11,14,2,1,2,2,3,17,+21
Jason Richardson,30:03,5,10,.500,4,5,.800,0,0,,0,1,1,3,2,0,1,0,14,+23
Ryan Anderson,29:32,9,12,.750,7,10,.700,2,2,1.000,1,1,2,0,1,0,1,1,27,+17
Jameer Nelson,29:09,5,8,.625,1,1,1.000,1,2,.500,0,4,4,14,0,0,2,3,12,+19
Hedo Türkoğlu,28:14,4,8,.500,1,3,.333,2,4,.500,0,7,7,2,0,0,4,1,11,+19
Quentin Richardson,19:46,0,4,.000,0,2,.000,0,0,,0,2,2,2,1,0,1,3,0,-3
Chris Duhon,18:51,2,3,.667,0,1,.000,0,0,,0,1,1,1,1,0,2,2,4,-3
J.J. Redick,17:57,5,12,.417,2,3,.667,0,0,,0,1,1,1,0,0,1,0,12,-7
Glen Davis,16:36,1,1,1.000,0,0,,2,2,1.000,0,2,2,2,0,0,1,1,4,-5
Earl Clark,8:49,1,2,.500,0,0,,0,0,,1,4,5,0,0,0,0,0,2,-1
Tony Parker,39:19,11,23,.478,0,1,.000,12,12,1.000,0,3,3,14,1,0,5,2,34,+12
Danny Green,27:32,4,7,.571,3,6,.500,2,2,1.000,1,6,7,1,0,0,1,2,13,+5
Richard Jefferson,25:31,4,6,.667,2,4,.500,0,0,,0,1,1,1,3,1,1,1,10,-8
Tim Duncan,19:04,3,8,.375,0,0,,2,2,1.000,1,2,3,2,0,0,1,0,8,-2
DeJuan Blair,15:52,3,7,.429,0,0,,0,0,,3,1,4,0,0,0,1,2,6,-4
Tiago Splitter,28:29,6,8,.750,0,0,,1,2,.500,0,5,5,2,0,1,2,1,13,+13
Gary Neal,26:13,3,5,.600,0,2,.000,2,2,1.000,0,4,4,1,0,0,2,0,8,+10
Manu Ginóbili,20:07,3,4,.750,1,2,.500,4,5,.800,0,3,3,1,0,0,2,2,11,+4
Matt Bonner,19:48,4,6,.667,2,2,1.000,0,0,,0,5,5,0,0,0,0,0,10,+17
Kawhi Leonard,15:15,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-5
Cory Joseph,2:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-7
DeMar DeRozan,37:21,13,21,.619,1,1,1.000,2,2,1.000,1,2,3,2,1,0,2,3,29,-2
José Calderón,33:55,8,14,.571,0,0,,0,1,.000,0,3,3,11,2,0,1,3,16,-10
James Johnson,22:51,3,8,.375,0,0,,0,0,,0,3,3,1,1,0,3,3,6,-6
Amir Johnson,22:31,5,5,1.000,0,0,,0,0,,1,6,7,3,1,0,2,4,10,-9
Aaron Gray,9:11,0,0,,0,0,,0,2,.000,1,1,2,0,0,0,1,1,0,-6
Rasual Butler,27:28,5,10,.500,0,3,.000,0,0,,0,3,3,3,0,0,2,3,10,-4
Ed Davis,23:09,5,6,.833,0,0,,1,1,1.000,2,3,5,0,1,1,0,1,11,-3
Anthony Carter,21:52,3,5,.600,1,2,.500,3,4,.750,1,4,5,6,1,0,0,5,10,+1
Leandro Barbosa,16:17,3,9,.333,1,3,.333,0,0,,0,2,2,2,0,0,2,1,7,+1
Gary Forbes,14:18,2,8,.250,0,2,.000,2,2,1.000,0,1,1,1,0,1,2,1,6,-7
Jamaal Magloire,11:07,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,0,1,1,+10
Linas Kleiza,Did Not Dress,,,,,,,,,,,,,,,,,,,
Rodney Stuckey,36:51,7,16,.438,0,2,.000,11,11,1.000,1,2,3,4,1,0,1,5,25,0
Tayshaun Prince,36:39,3,12,.250,0,2,.000,4,4,1.000,1,4,5,2,0,0,0,2,10,+6
Greg Monroe,35:57,11,14,.786,0,0,,0,0,,4,5,9,1,0,1,4,2,22,+11
Jason Maxiell,31:48,2,4,.500,0,0,,2,4,.500,1,6,7,1,1,1,1,2,6,+8
Brandon Knight,18:56,2,4,.500,0,1,.000,2,2,1.000,0,3,3,1,1,0,2,4,6,+5
Ben Gordon,28:18,8,15,.533,4,6,.667,2,2,1.000,0,3,3,3,1,0,2,4,22,+16
Ben Wallace,15:38,0,1,.000,0,0,,0,0,,3,8,11,2,0,0,0,1,0,+1
Damien Wilkins,13:37,0,2,.000,0,0,,2,4,.500,1,1,2,1,0,0,0,1,2,+3
Walker Russell,9:31,1,3,.333,0,1,.000,1,2,.500,0,0,0,0,1,0,1,2,3,-1
Jonas Jerebko,8:12,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Will Bynum,4:33,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+1
Rajon Rondo,39:26,15,27,.556,1,1,1.000,4,9,.444,2,3,5,6,4,0,2,1,35,-2
Paul Pierce,37:17,3,11,.273,0,1,.000,4,4,1.000,0,1,1,5,0,2,0,3,10,-4
Ray Allen,32:32,1,5,.200,0,1,.000,8,9,.889,0,6,6,2,2,2,2,2,10,+1
Chris Wilcox,31:45,8,12,.667,0,0,,1,2,.500,3,6,9,3,1,0,2,2,17,0
Jermaine O'Neal,21:55,0,2,.000,0,0,,1,2,.500,1,1,2,0,0,2,1,5,1,+5
JaJuan Johnson,25:05,5,11,.455,0,0,,0,1,.000,1,4,5,0,0,1,0,2,10,-15
Mickaël Piétrus,15:59,0,3,.000,0,3,.000,0,0,,0,2,2,0,0,0,0,2,0,-9
Keyon Dooling,14:39,2,4,.500,0,0,,0,3,.000,0,0,0,0,0,0,0,2,4,-8
Greg Stiemsma,12:48,0,2,.000,0,0,,1,2,.500,1,1,2,0,0,0,0,0,1,-10
Avery Bradley,8:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-8
Kevin Garnett,Did Not Dress,,,,,,,,,,,,,,,,,,,
Dahntay Jones,36:49,1,8,.125,0,0,,1,2,.500,0,5,5,0,0,0,2,4,3,-11
Roy Hibbert,33:07,7,15,.467,0,0,,3,3,1.000,7,1,8,1,1,1,0,3,17,-8
Darren Collison,32:48,7,12,.583,0,1,.000,4,4,1.000,1,1,2,3,0,1,2,2,18,-11
David West,26:26,4,15,.267,0,0,,2,2,1.000,5,5,10,0,0,0,1,1,10,-13
Paul George,24:58,4,14,.286,1,6,.167,2,6,.333,1,7,8,1,0,0,1,4,11,-3
Lance Stephenson,28:47,4,10,.400,1,4,.250,0,0,,0,1,1,1,2,0,0,1,9,-7
A.J. Price,20:38,3,5,.600,3,5,.600,2,2,1.000,0,2,2,2,0,1,0,1,11,-1
Tyler Hansbrough,19:41,0,3,.000,0,0,,4,8,.500,2,2,4,0,1,0,0,5,4,-6
Lou Amundson,13:48,2,5,.400,0,0,,0,0,,2,2,4,1,0,3,0,1,4,0
Jeff Ayres,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
George Hill,Did Not Dress,,,,,,,,,,,,,,,,,,,
Danny Granger,Did Not Dress,,,,,,,,,,,,,,,,,,,
Jeff Foster,Not With Team,,,,,,,,,,,,,,,,,,,
Kyrie Irving,37:11,8,12,.667,3,5,.600,3,4,.750,1,2,3,5,0,1,1,2,22,+6
Antawn Jamison,35:33,6,18,.333,0,6,.000,1,1,1.000,1,7,8,4,1,2,0,4,13,+9
Semih Erden,31:59,7,8,.875,0,0,,4,7,.571,2,6,8,1,1,0,0,4,18,+1
Omri Casspi,27:32,3,10,.300,3,7,.429,1,2,.500,1,8,9,3,0,0,2,3,10,+8
Daniel Gibson,21:20,3,7,.429,2,3,.667,0,0,,1,1,2,3,0,1,3,2,8,+14
Ramon Sessions,29:38,5,5,1.000,2,2,1.000,1,1,1.000,0,4,4,4,2,0,2,0,13,+6
Alonzo Gee,28:19,2,11,.182,0,4,.000,4,4,1.000,1,4,5,3,1,0,1,2,8,-1
Ryan Hollins,15:04,1,3,.333,0,0,,2,4,.500,3,1,4,0,0,0,2,4,4,+12
Tristan Thompson,12:10,1,3,.333,0,0,,0,0,,1,2,3,1,0,0,0,4,2,0
Luke Harangody,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Rudy Gay,39:38,8,15,.533,3,3,1.000,6,6,1.000,3,3,6,2,1,0,1,1,25,+11
Tony Allen,38:49,8,15,.533,1,2,.500,4,5,.800,1,3,4,3,5,1,5,4,21,+9
Marreese Speights,38:12,10,13,.769,0,0,,0,1,.000,6,12,18,1,0,2,0,4,20,+29
Marc Gasol,38:04,6,15,.400,0,1,.000,0,0,,4,3,7,3,0,0,1,2,12,+6
Mike Conley,37:37,5,11,.455,1,3,.333,5,5,1.000,0,0,0,10,4,0,0,3,16,+24
Dante Cunningham,19:44,2,5,.400,0,0,,1,1,1.000,3,1,4,0,0,1,0,0,5,-25
O.J. Mayo,18:54,2,12,.167,1,6,.167,1,2,.500,2,0,2,3,2,0,1,2,6,-12
Jeremy Pargo,5:15,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,3,1,0,-13
Quincy Pondexter,3:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
Sam Young,Not With Team,,,,,,,,,,,,,,,,,,,
Deron Williams,36:30,9,18,.500,4,10,.400,4,4,1.000,0,1,1,11,2,1,4,2,26,-3
Kris Humphries,36:25,3,4,.750,0,0,,4,4,1.000,1,6,7,2,0,0,2,5,10,-3
Shelden Williams,36:07,4,9,.444,0,0,,2,2,1.000,7,5,12,0,0,3,1,2,10,-20
MarShon Brooks,29:52,5,9,.556,2,3,.667,0,0,,2,1,3,3,2,1,6,2,12,-12
DeShawn Stevenson,17:31,0,5,.000,0,3,.000,0,0,,0,3,3,2,1,0,1,2,0,-3
Anthony Morrow,29:11,7,12,.583,3,8,.375,0,0,,0,3,3,3,0,0,3,2,17,-1
Johan Petro,23:09,4,6,.667,0,0,,2,2,1.000,0,4,4,0,1,1,1,1,10,+15
Sundiata Gaines,16:04,4,6,.667,2,2,1.000,1,1,1.000,0,1,1,7,1,1,1,0,11,+7
Andre Emmett,15:11,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,1,0,0,4,-5
Mehmet Okur,Did Not Dress,,,,,,,,,,,,,,,,,,,
Jordan Farmar,Did Not Dress,,,,,,,,,,,,,,,,,,,
Tyreke Evans,35:53,6,14,.429,1,2,.500,6,6,1.000,0,4,4,5,2,0,2,1,19,-21
Jason Thompson,29:41,0,3,.000,0,1,.000,1,4,.250,0,4,4,1,0,2,1,3,1,-23
DeMarcus Cousins,27:25,7,18,.389,0,0,,1,1,1.000,1,3,4,1,2,0,2,4,15,-6
Marcus Thornton,23:22,5,14,.357,1,4,.250,2,2,1.000,3,0,3,2,0,0,1,1,13,-19
John Salmons,21:24,1,5,.200,0,3,.000,0,0,,1,2,3,0,0,0,0,0,2,-15
Jimmer Fredette,24:38,2,5,.400,1,4,.250,3,4,.750,0,2,2,1,1,0,2,3,8,+4
Isaiah Thomas,24:14,6,13,.462,0,2,.000,2,3,.667,0,3,3,4,2,0,0,3,14,+4
J.J. Hickson,17:25,1,4,.250,0,0,,0,0,,2,4,6,0,1,2,1,1,2,+2
Travis Outlaw,14:29,4,5,.800,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,9,+2
Chuck Hayes,8:45,0,2,.000,0,0,,0,0,,1,2,3,0,1,0,0,1,0,-6
Donté Greene,8:35,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,0,2,-4
Hassan Whiteside,4:09,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+7
Landry Fields,30:07,6,8,.750,1,1,1.000,2,2,1.000,2,8,10,5,0,0,1,0,15,+18
Tyson Chandler,29:31,4,6,.667,0,0,,1,1,1.000,0,3,3,0,0,2,1,2,9,+20
Amar'e Stoudemire,27:10,5,10,.500,0,2,.000,1,2,.500,0,5,5,0,2,1,4,5,11,+20
Jeremy Lin,26:16,4,6,.667,0,0,,2,3,.667,0,5,5,13,0,0,6,1,10,+19
Henry Walker,19:47,6,9,.667,2,3,.667,0,0,,0,3,3,2,0,1,0,1,14,+22
Steve Novak,27:14,5,11,.455,3,8,.375,1,1,1.000,0,2,2,1,1,0,1,0,14,+2
Jared Jeffries,22:46,4,7,.571,0,1,.000,2,2,1.000,2,7,9,1,1,0,0,2,10,+6
Iman Shumpert,21:10,3,9,.333,1,5,.200,4,4,1.000,0,3,3,1,0,0,1,3,11,+1
Mike Bibby,17:53,0,3,.000,0,2,.000,0,0,,0,2,2,2,2,0,1,0,0,-3
Jerome Jordan,6:31,1,2,.500,0,0,,2,2,1.000,1,1,2,0,0,0,0,1,4,-10
Toney Douglas,6:31,1,5,.200,0,1,.000,0,0,,2,1,3,0,0,0,1,1,2,-10
Renaldo Balkman,5:04,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,0,0,-10
Carmelo Anthony,Did Not Dress,,,,,,,,,,,,,,,,,,,
Kevin Durant,39:01,12,26,.462,2,7,.286,7,7,1.000,2,6,8,1,1,1,4,3,33,-6
Russell Westbrook,37:42,11,25,.440,1,4,.250,3,4,.750,3,5,8,4,0,0,6,3,26,-5
Kendrick Perkins,29:47,0,2,.000,0,0,,0,0,,0,7,7,1,0,0,2,4,0,0
Serge Ibaka,22:32,1,4,.250,0,0,,4,4,1.000,2,3,5,0,1,4,0,1,6,-7
Daequan Cook,14:53,1,5,.200,0,3,.000,0,0,,1,1,2,0,0,0,1,1,2,-11
James Harden,32:13,6,13,.462,3,8,.375,2,3,.667,0,4,4,4,2,0,5,3,17,+5
Nick Collison,29:02,4,5,.800,0,0,,0,0,,1,4,5,2,2,1,2,1,8,+4
Nazr Mohammed,14:32,0,1,.000,0,0,,0,0,,2,3,5,1,0,1,0,3,0,+1
Reggie Jackson,10:18,1,2,.500,1,1,1.000,0,0,,0,0,0,4,1,0,1,0,3,+4
Royal Ivey,10:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+10
Kevin Martin,37:52,10,18,.556,4,7,.571,8,8,1.000,0,1,1,3,2,0,1,2,32,+3
Kyle Lowry,35:19,5,12,.417,1,5,.200,0,0,,1,3,4,9,2,0,2,3,11,+3
Chandler Parsons,35:11,6,12,.500,1,3,.333,1,2,.500,1,6,7,2,2,0,3,2,14,+10
Luis Scola,31:43,7,16,.438,0,0,,1,2,.500,2,2,4,0,0,0,1,3,15,-7
Samuel Dalembert,29:01,1,6,.167,0,0,,0,0,,3,9,12,2,3,3,1,4,2,+14
Patrick Patterson,23:31,3,10,.300,0,0,,0,0,,1,6,7,0,0,0,0,2,6,-5
Courtney Lee,13:38,0,2,.000,0,1,.000,2,2,1.000,0,0,0,3,1,0,1,2,2,-2
Goran Dragić,12:48,1,4,.250,1,1,1.000,0,2,.000,0,1,1,0,0,0,2,0,3,-2
Jordan Hill,11:38,2,3,.667,0,0,,2,2,1.000,3,1,4,1,1,0,0,1,6,0
Chase Budinger,9:19,2,4,.500,1,1,1.000,0,0,,0,1,1,0,2,0,2,0,5,-9
Hasheem Thabeet,Did Not Dress,,,,,,,,,,,,,,,,,,,
Trevor Ariza,45:31,6,13,.462,1,3,.333,1,1,1.000,0,7,7,4,2,2,2,3,14,+2
Chris Kaman,36:52,8,23,.348,0,0,,2,4,.500,4,6,10,2,0,1,4,1,18,+7
Marco Belinelli,34:44,7,10,.700,6,7,.857,2,2,1.000,2,2,4,2,0,0,0,3,22,+9
Gustavo Ayón,31:40,4,7,.571,0,0,,4,4,1.000,4,8,12,1,3,0,1,1,12,+9
Greivis Vásquez,25:52,3,8,.375,0,2,.000,0,0,,0,2,2,7,1,0,4,5,6,-2
Donald Sloan,22:08,1,5,.200,0,2,.000,1,2,.500,1,0,1,4,1,0,3,0,3,+5
Al-Farouq Aminu,16:36,1,5,.200,0,1,.000,1,2,.500,1,3,4,0,1,0,0,4,3,-7
Xavier Henry,13:16,3,3,1.000,0,0,,0,0,,1,3,4,0,0,0,2,1,6,-6
Solomon Jones,10:53,2,5,.400,0,0,,2,2,1.000,1,1,2,0,0,0,1,2,6,-3
Lance Thomas,2:29,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+1
Jason Smith,Not With Team,,,,,,,,,,,,,,,,,,,
Emeka Okafor,Not With Team,,,,,,,,,,,,,,,,,,,
Jarrett Jack,Did Not Dress,,,,,,,,,,,,,,,,,,,
Brandon Jennings,39:03,7,21,.333,2,6,.333,2,2,1.000,1,2,3,3,3,1,3,1,18,+1
Drew Gooden,26:05,5,13,.385,1,1,1.000,0,0,,1,4,5,1,0,2,2,2,11,-5
Carlos Delfino,22:14,4,7,.571,1,3,.333,2,2,1.000,0,3,3,1,3,0,0,1,11,-11
Shaun Livingston,20:49,2,2,1.000,0,0,,0,0,,1,0,1,1,0,1,2,2,4,-7
Luc Mbah a Moute,16:54,1,3,.333,0,0,,0,0,,1,2,3,0,0,1,1,1,2,-5
Ersan İlyasova,34:57,9,21,.429,1,2,.500,4,6,.667,4,3,7,1,0,2,0,2,23,+2
Mike Dunleavy,24:49,3,6,.500,2,3,.667,2,2,1.000,1,4,5,2,0,0,2,4,10,+6
Stephen Jackson,19:52,0,2,.000,0,1,.000,2,2,1.000,0,2,2,5,1,0,2,2,2,+4
Jon Leuer,15:28,2,5,.400,0,1,.000,2,2,1.000,1,3,4,0,1,0,0,1,6,+10
Beno Udrih,8:57,0,2,.000,0,1,.000,0,0,,1,0,1,3,0,0,0,1,0,-4
Larry Sanders,6:27,0,3,.000,0,0,,0,0,,3,1,4,0,1,3,1,1,0,-8
Tobias Harris,4:25,0,1,.000,0,0,,2,2,1.000,2,0,2,1,0,0,0,0,2,+2
Boris Diaw,37:58,7,12,.583,0,1,.000,0,0,,5,4,9,7,3,0,5,1,14,-7
Corey Maggette,32:13,6,17,.353,1,2,.500,5,6,.833,0,3,3,0,1,0,3,4,18,-7
Kemba Walker,31:41,9,17,.529,3,7,.429,0,1,.000,0,6,6,2,1,0,1,1,21,-20
Reggie Williams,29:30,4,8,.500,2,4,.500,0,0,,2,5,7,2,0,0,2,2,10,-5
Bismack Biyombo,20:19,1,4,.250,0,0,,2,6,.333,1,3,4,0,1,1,0,3,4,+4
D.J. Augustin,23:37,4,10,.400,1,2,.500,0,0,,0,2,2,2,1,0,4,3,9,+2
Derrick Brown,15:52,3,4,.750,0,0,,0,0,,2,1,3,2,0,0,0,1,6,-5
Tyrus Thomas,12:58,2,4,.500,0,0,,0,2,.000,0,0,0,0,1,1,0,3,4,-2
Byron Mullens,11:18,0,4,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,1,0,-3
D.J. White,7:06,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,-5
Matt Carroll,7:06,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,-5
DeSagana Diop,6:22,0,0,,0,0,,0,0,,3,0,3,0,0,0,0,0,0,-11
Cory Higgins,4:01,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,+4
Nikola Peković,43:31,10,17,.588,0,0,,1,2,.500,5,6,11,2,0,3,4,2,21,+11
Kevin Love,41:41,11,21,.524,2,5,.400,6,8,.750,4,14,18,3,1,0,3,2,30,+18
Luke Ridnour,34:16,5,8,.625,0,0,,0,0,,0,4,4,5,1,1,1,3,10,+20
Ricky Rubio,25:11,2,7,.286,0,2,.000,2,3,.667,0,1,1,7,4,0,3,0,6,-1
Wesley Johnson,24:28,4,9,.444,0,4,.000,1,1,1.000,0,1,1,0,1,1,1,3,9,-1
J.J. Barea,25:59,4,9,.444,2,3,.667,2,2,1.000,0,2,2,8,0,0,0,1,12,+8
Martell Webster,23:32,3,5,.600,0,1,.000,0,0,,1,4,5,0,2,0,0,2,6,+13
Derrick Williams,8:56,2,3,.667,0,0,,0,0,,0,3,3,0,0,0,0,2,4,+2
Michael Beasley,8:42,2,4,.500,0,0,,0,0,,0,0,0,1,0,1,1,0,4,+4
Wayne Ellington,1:52,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-7
Anthony Tolliver,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Corey Brewer,35:12,3,15,.200,0,3,.000,3,6,.500,2,5,7,4,5,0,1,4,9,-4
Ty Lawson,28:18,1,8,.125,0,3,.000,1,1,1.000,1,1,2,2,0,0,2,2,3,-15
Kosta Koufos,26:20,6,7,.857,0,0,,0,2,.000,6,8,14,0,2,1,2,3,12,-14
Arron Afflalo,24:35,0,6,.000,0,4,.000,3,6,.500,0,1,1,0,0,0,1,2,3,-33
Kenneth Faried,20:51,4,7,.571,0,0,,4,4,1.000,1,2,3,0,1,0,0,1,12,+1
Al Harrington,25:17,4,12,.333,2,6,.333,3,4,.750,0,5,5,2,0,1,2,2,13,-23
Chris Andersen,21:40,2,5,.400,0,0,,2,4,.500,5,6,11,0,0,1,1,1,6,-4
Andre Miller,21:26,0,5,.000,0,1,.000,0,0,,2,0,2,2,0,0,2,3,0,-9
Rudy Fernández,20:22,5,9,.556,2,5,.400,2,4,.500,0,0,0,1,1,0,1,1,14,-11
Jordan Hamilton,8:56,4,8,.500,2,5,.400,0,0,,2,2,4,0,0,0,1,2,10,+12
Julyan Stone,7:03,1,2,.500,0,0,,0,0,,0,0,0,4,0,0,1,0,2,+10
Danilo Gallinari,Did Not Dress,,,,,,,,,,,,,,,,,,,
Shawn Marion,26:40,8,14,.571,0,1,.000,0,1,.000,5,5,10,6,0,0,3,0,16,+29
Vince Carter,26:06,5,10,.500,2,4,.500,3,3,1.000,0,6,6,2,1,0,2,3,15,+27
Dirk Nowitzki,24:57,5,12,.417,0,2,.000,2,2,1.000,0,3,3,4,1,1,2,3,12,+16
Jason Kidd,22:12,4,6,.667,4,6,.667,1,1,1.000,0,3,3,3,3,0,0,2,13,+23
