MP,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
38.5,0.643,0.0,0.75,7.0,9.0,16.0,2.0,1.0,0.0,1.0,3.0,21.0
38.15,0.28600000000000003,0.0,1.0,3.0,11.0,14.0,0.0,0.0,1.0,1.0,4.0,6.0
25.22,0.625,0.0,0.5,0.0,5.0,5.0,0.0,0.0,1.0,2.0,5.0,11.0
25.06,0.33299999999999996,0.28600000000000003,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0
20.24,0.0,0.0,0.0,1.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,0.0
18.24,0.375,0.0,0.33299999999999996,0.0,4.0,4.0,4.0,2.0,0.0,1.0,1.0,7.0
10.48,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
8.37,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
8.08,0.429,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.0
5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.13,0.231,0.0,0.5379999999999999,3.0,5.0,8.0,5.0,3.0,1.0,4.0,2.0,13.0
38.44,0.385,0.0,0.5,0.0,10.0,10.0,3.0,0.0,1.0,2.0,2.0,11.0
27.53,0.583,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,15.0
25.32,0.455,0.0,0.16699999999999998,3.0,3.0,6.0,0.0,1.0,3.0,1.0,3.0,11.0
24.52,0.25,0.0,0.833,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0
22.16,1.0,0.0,0.0,0.0,5.0,5.0,2.0,1.0,1.0,3.0,4.0,2.0
21.44,0.33299999999999996,0.5,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0
17.37,0.667,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0
8.58,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4.57,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
38.02,0.444,0.0,0.75,3.0,4.0,7.0,3.0,0.0,0.0,1.0,3.0,19.0
36.29,0.41700000000000004,0.16699999999999998,0.9,1.0,6.0,7.0,12.0,1.0,1.0,3.0,5.0,20.0
32.39,0.1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0
20.23,0.2,0.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0
19.48,1.0,0.0,0.0,4.0,2.0,6.0,1.0,0.0,1.0,1.0,2.0,6.0
26.34,0.41700000000000004,0.4,0.5,0.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,13.0
23.53,0.6,0.667,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,15.0
19.48,0.833,0.0,0.0,2.0,3.0,5.0,0.0,2.0,3.0,1.0,0.0,10.0
11.31,0.5,0.5,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,5.0
6.33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
37.06,0.6,0.0,0.6,2.0,5.0,7.0,3.0,0.0,3.0,2.0,2.0,21.0
35.18,0.7140000000000001,0.75,0.0,1.0,5.0,6.0,4.0,0.0,0.0,3.0,1.0,23.0
32.45,0.625,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,3.0,10.0
30.23,0.16699999999999998,0.0,0.0,0.0,3.0,3.0,6.0,1.0,0.0,2.0,1.0,2.0
27.35,0.33299999999999996,0.25,0.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,2.0,8.0
28.15,0.667,0.75,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,20.0
21.08,0.455,0.0,0.75,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,13.0
17.37,0.5,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0
8.27,0.25,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0
