"","AST","BLK","MP","PF","PTS","STL","TOV","TRB","TPP","FGP","FTP"
"163",0,0,0.0733240223463687,0.333333333333333,0,0,0,0,0,0,0
"164",0.15,0.272727272727273,0.646997206703911,0.333333333333333,0.368421052631579,0,0.2,0.233333333333333,0,0.6,0.6
"165",0.2,0,0.614175977653631,0.166666666666667,0.403508771929825,0,0.3,0.2,0.75,0.714,0
"166",0.05,0,0.566515363128492,0.5,0.175438596491228,0,0.2,0.1,0,0.625,0
"171",0.1,0,0.303247206703911,0.333333333333333,0.087719298245614,0,0.1,0.0333333333333333,1,0.5,0
"175",0.1,0.0909090909090909,0.582576815642458,0,0.105263157894737,0,0,0.1,0,0.3,0
"178",0.05,0,0.373428770949721,0.833333333333333,0.140350877192982,0.125,0,0.233333333333333,0,0.429,1
"180",0,0.0909090909090909,0.286487430167598,0.166666666666667,0,0,0,0,0,0,0
"182",0.05,0,0.248428770949721,0.333333333333333,0,0,0.1,0.233333333333333,0,0,0
"183",0.15,0,0.218924581005587,0.666666666666667,0.105263157894737,0,0.2,0.1,0.5,0.2,0.75
"184",0.25,0.0909090909090909,0.63372905027933,0.333333333333333,0.140350877192982,0.25,0.2,0,0.667,0.273,0
"187",0.15,0.181818181818182,0.545565642458101,0.166666666666667,0.192982456140351,0,0.1,0.4,0,0.25,0.833
"188",0.1,0.0909090909090909,0.507332402234637,0.833333333333333,0.210526315789474,0.125,0.2,0.233333333333333,0.667,0.375,1
"189",0,0,0.549406424581006,0.5,0.263157894736842,0.125,0,0.433333333333333,0,0.429,0.75
"190",0.2,0,0.423184357541899,0.5,0.0701754385964912,0.25,0.1,0.0333333333333333,0,0.286,0
"191",0,0.0909090909090909,0.214909217877095,0,0.12280701754386,0,0,0.0333333333333333,1,0.5,0
"192",0.05,0,0.104748603351955,0.166666666666667,0.0350877192982456,0.125,0.1,0.0333333333333333,0,0,1
"193",0.15,0,0.652409217877095,0.166666666666667,0.228070175438596,0,0.2,0.1,0.375,0.25,1
"194",0.1,0.0909090909090909,0.651361731843575,0.166666666666667,0.298245614035088,0.25,0.1,0.3,0,0.5,0.75
"195",0.2,0,0.647870111731844,0.5,0.385964912280702,0,0,0.1,0.5,0.381,1
"196",0,0,0.460893854748603,0,0.0350877192982456,0.25,0.1,0.3,0,0.25,0
"197",0.05,0,0.299755586592179,1,0.105263157894737,0.125,0.3,0.0333333333333333,0.25,0.2,1
"198",0.3,0,0.601256983240223,0.333333333333333,0.245614035087719,0.125,0.2,0.133333333333333,0,0.6,0.667
